annotation_id,image_id,category_id,label,roi_path,source_path,roi_sha256,source_sha256,group_id,fold,split,fold_sensitivity
1,1,71,Sebastolobus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/1_1.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/1.png,b8d759034ded8457e3b39b7a9bce61418bb765f9d6eeabaca8880a5a06b7db6f,44e6dff4ff5127f7eea5e64ecaa9a2b810361474a8af0360674de6cbb6b47f73,1,2,train,2
2,2,8,Apostichopus leukothele,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/2_2.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/2.png,cb0d798527c18a16290a63741b34d583e43737fcf87f57492a8da11eb06dc933,5ec76c7a919fe67f217131da633670a5bbf1e6837e84fdaefde9f338be1de65b,2,5,train,5
3,3,67,Scotoplanes,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/3_3.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/3.png,6ae36cdd86f24ec398a86b5d99cc44ad5e7d16ccde97db2a848bc8679b01e5c7,64a47f51e4cbaf6d98c8344c490609d6d620e8d4012cd4100c6d613323d5e4a1,3,0,train,0
4,4,37,Keratoisis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/4_4.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/4.png,83433b68ef58afde232c460f8cdf6b9a46892ec920cab46ae08e95d8ca645a15,ed6001080e68d818988a82485283c25cb5ec9720e7a41a5a4934ff3535951a36,4,5,train,5
5,4,37,Keratoisis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/4_5.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/4.png,92040a75efd79a3d377f5c267da8c7153a6b3884fdb3872b9ecc842e34448f24,ed6001080e68d818988a82485283c25cb5ec9720e7a41a5a4934ff3535951a36,4,5,train,5
6,5,45,Munnopsidae,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/5_6.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/5.png,91328f3023833713188cf4b3694bad6707c1c78f91bc81717c2ccdb8534d95a6,005cd7463cd62ed5e18e3c49e1d9b22734415ce76d060df563a0e8bd58bcc8e5,5,2,train,2
7,6,68,Scotoplanes globosa,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/6_7.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/6.png,a8e8a650b9e021e47e10601c35f2e05162a7cd682089d47301838490de058acd,0c5a32ed859f6069c860b733a9ef7c7f236fda738ab01044fa18e1626953be15,6,1,train,1
11,8,31,Hippasteria,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/8_11.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/8.png,26464de7aecffbd434267a64cc5537b8dd5cdd74badca9e750bad1843c128d0d,ee07b120c374d552f9bd8be73c4e1dd4673f6a8441545d1407c688ae1da2b101,8,4,train,4
12,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_12.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,9dbd67baa02ff0508c838e4a782ee5dadb3308ad376a723c5b92f07f3945322f,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
13,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_13.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,30ea6722ba880e6b883583bcc731901502e8ff869f19a351b5552d7a03c6d6b0,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
14,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_14.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,9b29994d2d8053dc4279e23cad2fdc9a81fdaa1d2087ed2cf17379ed83bca403,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
15,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_15.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,499fe0c7c510cab15a9a50ed0000f19cfeb4ead5fee2148c189f7f3ca9c16481,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
16,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_16.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,8490ec50b4c302c90e93e3dab1abc10c435080809f1bb76695ead45d97bb74aa,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
17,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_17.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,f3ef449e53466d9d0787b2d017df455efd765c93ee0381328e12bea2cdb4cb19,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
18,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_18.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,2a0a1b471345293575c25c1e9039bbd4cefb32b12768a4f90a3d7e0c0ac95bd4,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
19,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_19.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,7d7ab5e0515bcabadd8168b775344d7b99877c875abc582faf67beccfb0de928,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
20,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_20.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,c9e54feaa41a21146f64291e278e68a9d7466566f6c82461e91146e3e947be2a,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
21,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_21.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,f0c34466f3ab428ee8197408f0c77478046e9f57de922f8b51a05e807237ad56,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
22,9,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/9_22.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/9.png,6ba2bc8ed3f122fabf55f7d722d621ad9097ea78bf7060cae7abf0a8892c346b,a2de5c70535060eb66571b0723b8ac242dcf7d36f18210b988abe89476ad573c,9,4,train,4
