annotation_id,image_id,category_id,label,roi_path,source_path,roi_sha256,source_sha256,group_id,fold,split,fold_sensitivity
27,11,19,Crinoidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/11_27.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/11.png,a41adda7c0782188991c1e2c0dd27554b75105b71f10b0411697fe5943382428,6341dd47ecf6f87a18f81c2031f6a17d42a5cd119947e8a6ea217c6de903fef3,11,4,train,4
56,20,49,Ophiuroidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/20_56.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/20.png,45b35eed0b1889fc8298a6ad8f4d68f3d8c04f291a3b761afeb232b81e56ae7d,4231605caa62a8acec2ffcee33f7edf2132146ad28330502ce4ccaeeda19f63f,20,2,train,2
58,20,19,Crinoidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/20_58.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/20.png,cd2b8eafc559b3573a70f200c85a90daccbca16054d492888d42322595c98fb5,4231605caa62a8acec2ffcee33f7edf2132146ad28330502ce4ccaeeda19f63f,20,2,train,2
66,25,35,Isididae,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/25_66.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/25.png,c814cddd5aa76b19825b48f9d7cc9796d9b65ec171cd8f4d97f00451910b3207,883dbd208f72a0dd7be5699a0e2031f33c18af4adb45d1ef7001d30a88b0f170,25,4,train,4
86,35,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/35_86.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/35.png,140172e265807fc9ed6ba531b59d636d3a4f8fc4670578aecda8294caa2a2f27,767e0f0605aaafe4217ca66fabb23f326004293bc65d07d680666094a7a6bdbf,35,2,train,2
134,40,30,Hexactinellida,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/40_134.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/40.png,a11a98b12bda496b11020116b84cb695efd7b27ec6eb13d342ec66d956edf288,68c22229eaa003a9e04eaaa6c859ca153239efca0bfff75223c47eb3b7952cf5,40,1,train,1
142,40,60,Porifera,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/40_142.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/40.png,bb600bd966653abaad31b5cd07b320ed90d43ea1be16ce01c33f3da1c176620d,68c22229eaa003a9e04eaaa6c859ca153239efca0bfff75223c47eb3b7952cf5,40,1,train,1
143,41,4,Actinernus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/41_143.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/41.png,7cdf1d3f6b3937c4ec8b4478706b6e47ef64c189261880be75908e9960c934c6,7844c7c330f98280a21fddd51ab5a6a33a11daec0049397398f75e45f8664107,41,1,train,1
164,41,4,Actinernus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/41_164.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/41.png,69213142e4c921015ef0aebc97e8645e0f23fde88194aa827d8e2ac84a7010d1,7844c7c330f98280a21fddd51ab5a6a33a11daec0049397398f75e45f8664107,41,1,train,1
167,41,60,Porifera,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/41_167.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/41.png,6758f97f55510ca93e0a0dac2aac6ff508aeb08ec7b1122858de2770283c44c7,7844c7c330f98280a21fddd51ab5a6a33a11daec0049397398f75e45f8664107,41,1,train,1
179,43,58,Peniagone,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/43_179.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/43.png,aeecb08d6f4382b84dc28f4fe95723bd122075ec65a1e8fcf955352a5c3fb642,3de41178c6b14adfd10d0968b3c9c7deafaf9d63a96963d59a838301476bec93,43,5,train,5
181,44,16,Chionoecetes tanneri,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/44_181.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/44.png,1e6f5e6d6d128cdd4ea0eedd9cb8b266a9a16c502034508c888636febad31e04,f33a2272ed008c869f3d4071de9b4cdebf5cb4d76566c897f05285859b3dceea,44,4,train,4
186,46,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/46_186.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/46.png,f762e3177872cd905119382971e60b592e99abee89af277ec79550a533da54ca,0e3a77f5eb3817a78c45ab0d5e4837646cf9f5e4c09ce187b7fc2a7c92d81d5f,46,5,train,5
188,46,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/46_188.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/46.png,4684440ccdec5772b77600857809fb870e8a1538467066f0793d3f948b404d43,0e3a77f5eb3817a78c45ab0d5e4837646cf9f5e4c09ce187b7fc2a7c92d81d5f,46,5,train,5
198,46,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/46_198.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/46.png,bbe8ca61a1f1e58565b84f83f6e156c92e4376e6e7878998d14e1506c6d2e22f,0e3a77f5eb3817a78c45ab0d5e4837646cf9f5e4c09ce187b7fc2a7c92d81d5f,46,5,train,5
245,61,60,Porifera,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/61_245.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/61.png,e3549ae4db50118054d5e6c184ac989b9f2ca8eff2d3c0fe29e93271a6e51d46,4df3dd2d6def1c2ca087ab3dbfec7a12f20cf391d93cf352007a0392264ec773,61,5,train,5
261,63,28,Heterochone calyx,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/63_261.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/63.png,33aa1b2772b6615ff1fd7d44af4714cabcd4bbd4a7a89916b5ce7313ea89a284,41254b0a8de4a5f59f661a069d829b734d18ee5199ac9cb52849d8c3f21004ce,63,2,train,2
310,71,54,Paragorgia,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/71_310.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/71.png,5f4fa024cf5120e5caf33dc5f4289c26ce7e8fa62dbaed505c36abfae5c8a732,37f1063b2ec82880651b4db337d6177849343f86ac650d152e9ed502051fd23e,71,5,train,5
350,87,55,Paragorgia arborea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/87_350.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/87.png,c7e10b81f7b8fafc037bf277e8badf87c96175fca974c87387090145b4928591,93eba8f1540cb64239cb54b7a7923d7e2fca6f8f9bcd372329ae16a4cddbbb25,87,4,train,4
353,89,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/89_353.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/89.png,e25ae9f73a4ff392dd8d65ed1a7a0b09361c5f20d0fae7eb9027a3f44d4606cb,78fd86999cc59577189f3a537d097b84d71344cfd4384b643ae07c6a6cb7c941,89,2,train,2
357,89,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/89_357.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/89.png,5b3954d9e029f0a5a714ce9ff7e9058c171a7d77b96dac95edb73e58d95ee0a9,78fd86999cc59577189f3a537d097b84d71344cfd4384b643ae07c6a6cb7c941,89,2,train,2
364,89,58,Peniagone,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/89_364.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/89.png,ba9ea9d9a2c2587949819f4c5455a4627cdeb0dcc824c57ee96d2ef34e084b3d,78fd86999cc59577189f3a537d097b84d71344cfd4384b643ae07c6a6cb7c941,89,2,train,2
