dataset,storage_split,original_split,original_index,label_id,label,path,sha256,width,height,group_id,fold,split
AQUA20,train,train,20,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000020_2a504772e4a4.jpg,2a504772e4a45e84db3bf83aa83bef4a1287ee23071431eeb54e94f9c9de60c0,256,256,2a504772e4a45e84db3bf83aa83bef4a1287ee23071431eeb54e94f9c9de60c0,4,train
AQUA20,train,train,30,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000030_379abb1c53b9.jpg,379abb1c53b99563a198b8f8b3b56e1690b7fe866ab2d23a36f4645467e8736c,256,256,379abb1c53b99563a198b8f8b3b56e1690b7fe866ab2d23a36f4645467e8736c,4,train
AQUA20,train,train,36,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000036_27f8f3d0e3a3.jpg,27f8f3d0e3a31341e461a09d977cce330612ac70b5fada908388a91ceba29e55,256,256,27f8f3d0e3a31341e461a09d977cce330612ac70b5fada908388a91ceba29e55,4,train
AQUA20,train,train,44,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000044_69af001db24e.jpg,69af001db24e08988f373b5bcd4243941750481027e2620ab9afe4f47a9a3999,256,256,69af001db24e08988f373b5bcd4243941750481027e2620ab9afe4f47a9a3999,3,train
AQUA20,train,train,69,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000069_64d41428ce39.jpg,64d41428ce39a12f9d76265a87c708a6f039f6894fa2445179d968ea5702e597,256,256,64d41428ce39a12f9d76265a87c708a6f039f6894fa2445179d968ea5702e597,2,train
AQUA20,train,train,80,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000080_70fc86225807.jpg,70fc8622580748a083980f418d8678913deef254021b9ee31d04e7c481f1a6c9,256,256,70fc8622580748a083980f418d8678913deef254021b9ee31d04e7c481f1a6c9,2,train
AQUA20,train,train,98,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000098_11efee982ad3.jpg,11efee982ad317334fa599fccb3250ed8cb0b8d5cac8d4cb376afc306f1b36f5,256,256,11efee982ad317334fa599fccb3250ed8cb0b8d5cac8d4cb376afc306f1b36f5,2,train
AQUA20,train,train,104,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000104_20e63e11c76e.jpg,20e63e11c76e43b31ef71c7524a4811e25b12d8776959a1b4a6014567ecdf116,256,256,20e63e11c76e43b31ef71c7524a4811e25b12d8776959a1b4a6014567ecdf116,6,train
AQUA20,train,train,128,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000128_3edb91466a56.jpg,3edb91466a56a34b0f9e9bae6de9c3ef8d914186114348bacd5468062690b62e,256,256,3edb91466a56a34b0f9e9bae6de9c3ef8d914186114348bacd5468062690b62e,2,train
AQUA20,train,train,129,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000129_8cd3f28b6f18.jpg,8cd3f28b6f180258070c6aa2a92ee11a9aa284e7aa0484788560160efa85acb6,256,256,8cd3f28b6f180258070c6aa2a92ee11a9aa284e7aa0484788560160efa85acb6,2,train
AQUA20,train,train,156,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000156_0f5a9ec5509b.jpg,0f5a9ec5509bc10497ef3eaa35a5770c0f9b6a2470f753c5761f5644a1b56c34,256,256,0f5a9ec5509bc10497ef3eaa35a5770c0f9b6a2470f753c5761f5644a1b56c34,5,train
AQUA20,train,train,200,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000200_52936259c956.jpg,52936259c956140f213552535fbf535c2cb320d1ed4feddc583e5bc28b6dd8eb,256,256,52936259c956140f213552535fbf535c2cb320d1ed4feddc583e5bc28b6dd8eb,6,train
AQUA20,train,train,215,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000215_60e537e61a12.jpg,60e537e61a128ffa01b05e285d8af183aaae5e36d992efd69cbf65356d65fcbb,256,256,60e537e61a128ffa01b05e285d8af183aaae5e36d992efd69cbf65356d65fcbb,3,train
