dataset,storage_split,original_split,original_index,label_id,label,path,sha256,width,height,group_id,fold,split
AQUA20,train,train,36,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000036_27f8f3d0e3a3.jpg,27f8f3d0e3a31341e461a09d977cce330612ac70b5fada908388a91ceba29e55,256,256,27f8f3d0e3a31341e461a09d977cce330612ac70b5fada908388a91ceba29e55,4,train
AQUA20,train,train,80,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000080_70fc86225807.jpg,70fc8622580748a083980f418d8678913deef254021b9ee31d04e7c481f1a6c9,256,256,70fc8622580748a083980f418d8678913deef254021b9ee31d04e7c481f1a6c9,2,train
AQUA20,train,train,98,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000098_11efee982ad3.jpg,11efee982ad317334fa599fccb3250ed8cb0b8d5cac8d4cb376afc306f1b36f5,256,256,11efee982ad317334fa599fccb3250ed8cb0b8d5cac8d4cb376afc306f1b36f5,2,train
AQUA20,train,train,128,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000128_3edb91466a56.jpg,3edb91466a56a34b0f9e9bae6de9c3ef8d914186114348bacd5468062690b62e,256,256,3edb91466a56a34b0f9e9bae6de9c3ef8d914186114348bacd5468062690b62e,2,train
AQUA20,train,train,200,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000200_52936259c956.jpg,52936259c956140f213552535fbf535c2cb320d1ed4feddc583e5bc28b6dd8eb,256,256,52936259c956140f213552535fbf535c2cb320d1ed4feddc583e5bc28b6dd8eb,6,train
AQUA20,train,train,215,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000215_60e537e61a12.jpg,60e537e61a128ffa01b05e285d8af183aaae5e36d992efd69cbf65356d65fcbb,256,256,60e537e61a128ffa01b05e285d8af183aaae5e36d992efd69cbf65356d65fcbb,3,train
AQUA20,train,train,286,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000286_1092c1ba45b8.jpg,1092c1ba45b89acae33bb1a43d4326fe96402a2109a305cbfd65a486a856b079,256,256,1092c1ba45b89acae33bb1a43d4326fe96402a2109a305cbfd65a486a856b079,2,train
AQUA20,train,train,298,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000298_9139558a919f.jpg,9139558a919f3cf28aa08f56a1b6924b391c48c5286239a7d33849e5f95afc22,256,256,9139558a919f3cf28aa08f56a1b6924b391c48c5286239a7d33849e5f95afc22,2,train
AQUA20,train,train,311,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000311_96bf8e86b2b5.jpg,96bf8e86b2b53258cca3977e907701224be67fa7550578d3380d9a2b5d502256,256,256,96bf8e86b2b53258cca3977e907701224be67fa7550578d3380d9a2b5d502256,2,train
AQUA20,train,train,387,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000387_2cb8314c852c.jpg,2cb8314c852c3828cbc4a7d1bca8ee3e781ce26110bebc6b882a5104fe16ef29,256,256,2cb8314c852c3828cbc4a7d1bca8ee3e781ce26110bebc6b882a5104fe16ef29,2,train
