annotation_id,image_id,category_id,label,roi_path,source_path,roi_sha256,source_sha256,group_id,fold,split,fold_sensitivity
8,7,71,Sebastolobus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/7_8.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/7.png,ebc9eb28fed8d1d69cbbee547cbd625747de4fbbf3dca4be9e514289e3436472,f4cbd73665e5a9528a75b18df7577ed7dd37fce04e58af11821d5c4fccb3e397,7,6,train,0
28,11,19,Crinoidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/11_28.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/11.png,5ea7e4c6a89340b10e717aed8e09a6d9d586779c43426a7da14f5deb54c781d9,6341dd47ecf6f87a18f81c2031f6a17d42a5cd119947e8a6ea217c6de903fef3,11,4,train,5
44,15,55,Paragorgia arborea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/15_44.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/15.png,2b98bbb10f1010106f6cba89a76f98769449d3e8230cfdac93cb72bbcfcfffe4,c837ec480911d974cb9f8374289c7656005c2a78be1935e7b1ec001ac7745319,15,5,train,5
67,26,65,Rathbunaster californicus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/26_67.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/26.png,b94bd7bb6225b08aaa2c051a2784d945c1470d0c63b2611237ecba8574f89b3c,6c45ab90ffdff553ccbab99da5466aaafa970ba631d6da85eb68812bb1f220ba,26,4,train,4
69,27,58,Peniagone,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/27_69.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/27.png,72cba9c01f9d26fecdcab026aa8481111da61137c925fb25b88d2cff0ef2d73a,e08e33ecf2fafd04eef6c165945965560ca75596da3aa2dd54c419dfc864e80c,27,5,train,5
70,27,58,Peniagone,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/27_70.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/27.png,22ed135683499d109f4f7939e7c698a02875405e32bb269bf1493f6812d1495e,e08e33ecf2fafd04eef6c165945965560ca75596da3aa2dd54c419dfc864e80c,27,5,train,5
82,35,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/35_82.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/35.png,c9d29b9c6bbf0ea79aab92b4a5b7eade5df69bfb519fb2966061d44495ff1956,767e0f0605aaafe4217ca66fabb23f326004293bc65d07d680666094a7a6bdbf,35,2,train,4
95,36,35,Isididae,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/36_95.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/36.png,a68ea45b16aac4b251ec68106ff9d0ff089b489a76ba6b03fa89d81421797da4,b154bddc9f3453361ef39507592d3c891ed871c37a16e9ab04fd0ed05a0fa7be,36,2,train,0
101,39,16,Chionoecetes tanneri,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/39_101.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/39.png,05b5ed14fd01f622d14ec54d7632d137c7e66a36b51fd0248a134dcc5cc523bc,ee920379c24cae68b526bb636d1a203caa4f994aec7a179c8f419c39e36c53b1,39,3,train,5
105,39,16,Chionoecetes tanneri,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/39_105.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/39.png,f2e2edb41f0edc63eb43daee9ed960e5a93f58697f1f29a7faa4040cba9512d9,ee920379c24cae68b526bb636d1a203caa4f994aec7a179c8f419c39e36c53b1,39,3,train,5
