annotation_id,image_id,category_id,label,roi_path,source_path,roi_sha256,source_sha256,group_id,fold,split
46,15,55,Paragorgia arborea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/15_46.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/15.png,c205fe3f64b100a0327ebdfee540eb2909e58df0d1d8e267472a0f825fb93cee,c837ec480911d974cb9f8374289c7656005c2a78be1935e7b1ec001ac7745319,15,4,train
86,35,44,Munidopsis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/35_86.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/35.png,140172e265807fc9ed6ba531b59d636d3a4f8fc4670578aecda8294caa2a2f27,767e0f0605aaafe4217ca66fabb23f326004293bc65d07d680666094a7a6bdbf,35,6,train
170,42,25,Gastropoda,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/42_170.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/42.png,77cf7ca14a16f3c53564ae0287f5baed1e3175789e47ddd437914f7b900328d1,8efed53c7a1bbd0074da0f71b82f125524d20b5c28d56ef1bc95fd657057b965,42,4,train
209,47,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/47_209.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/47.png,1085576623f18181bbcfd34d319de3f43c456b187fbf1be8673e4909e678986f,53d18f0cf3e87a07babe03da98314008345d82d1cf3702151cdbdfaf0a01f662,47,6,train
245,61,60,Porifera,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/61_245.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/61.png,e3549ae4db50118054d5e6c184ac989b9f2ca8eff2d3c0fe29e93271a6e51d46,4df3dd2d6def1c2ca087ab3dbfec7a12f20cf391d93cf352007a0392264ec773,61,4,train
294,69,49,Ophiuroidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/69_294.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/69.png,969ff769aaf4528dd6cdd503c684fda8b7d5549ec88b17dceb72c040afb35ee4,a8b2cd98d2d4684768022b1a46ded939be456746f0d0275331acd5868851285f,69,0,train
433,107,58,Peniagone,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/107_433.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/107.png,f2b88fffac3ac0f8880fede944f7fbf5d5cd8ba2fb148c7e16b493e0733f3113,af9a9204d96d760b80adc7287efcc9fc8751c3ef578fd5cebda1a4e342f2a703,107,6,train
480,122,16,Chionoecetes tanneri,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/122_480.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/122.png,f0b64a6baf4cd4f1328b50eef7f15f1f6bbbbdd6eb83c4fb62a09e51793534d4,aaec46313e18d985c1ed88b670865b4b390ae571a425f9158ebe1ec4712c1019,122,4,train
565,149,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/149_565.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/149.png,ef858e21ec3fbd7db38d6e0d1ce1e6f53dfc6b6a5c1028656a3445edc4400758,b1a5e1c2ca3d2e5baeae8d007cc77df52f19a2516db89852c9caaf701fcbc85e,149,2,train
599,161,73,Staurocalyptus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/161_599.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/161.png,b2ed9d6504863281fc5a02c482c69a3cbdc48ba614f8a6e3197ad468083217bf,4694deab0a77fb0b95fdc4443e5441a8558016c172164c706ef357b478614719,161,4,train
